scientific_name,common_name,image,fish_id
Genicanthus Lamarck,Lamarck'S Angelfish,https://inaturalist-open-data.s3.amazonaws.com/photos/114283469/medium.jpg,57
Valenciennea Puellaris,Orange-Dashed Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/454820242/medium.jpg,58
Rhinopias Frondosa,Weedy Scorpionfish,https://static.inaturalist.org/photos/29832944/medium.jpg,59
Soleichthys,Soleichthy,https://inaturalist-open-data.s3.amazonaws.com/photos/1657421/medium.jpg,60
Liachirus Melanospilos,Darkspotted Sole,https://inaturalist-open-data.s3.amazonaws.com/photos/235589028/medium.jpg,61
Ostorhinchus Moluccensis,Moluccan Cardinalfish,https://static.inaturalist.org/photos/29303129/medium.jpg,62
Parapterois Heterura,Gurnard Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/276337701/medium.jpg,63
Hippocampus Kuda,Common Seahorse,https://static.inaturalist.org/photos/49705000/medium.jpg,64
Bothus Pantherinus,Panther Flounder,https://inaturalist-open-data.s3.amazonaws.com/photos/56411010/medium.jpeg,65
Lactoria Cornuta,Longhorn Cowfish,https://inaturalist-open-data.s3.amazonaws.com/photos/240512542/medium.jpeg,66
Canthigaster Compressa,Fingerprint Toby,https://inaturalist-open-data.s3.amazonaws.com/photos/19144568/medium.jpg,67
Trachyrhamphus Longirostris,Straightstick Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/1388973/medium.jpg,68
Dactyloptena Orientalis,Oriental Flying Gurnard,https://inaturalist-open-data.s3.amazonaws.com/photos/11975119/medium.jpeg,69
Monacanthidae,Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/18508152/medium.jpg,70
Dactylopus Kuiteri,Orange And Black Dragonet,https://inaturalist-open-data.s3.amazonaws.com/photos/310568/medium.jpg,71
Parapercis Pacifica,Speckled Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/107990181/medium.jpg,72
Amblyeleotris Diagonalis,Diagonal Shrimpgoby,https://static.inaturalist.org/photos/27622942/medium.jpg,73
Parapercis Xanthozona,Whitestripe Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/259739866/medium.jpg,74
Fusigobius Melacron,Blacktip Sandgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/265910484/medium.jpeg,75
Hippocampus Histrix,Spiny Seahorse,https://inaturalist-open-data.s3.amazonaws.com/photos/33912466/medium.jpeg,76
Parapercis Tetracantha,Reticulated Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/248534685/medium.jpg,77
Cryptocentrus Fasciatus,Barred Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/255625202/medium.jpg,78
Rastrelliger Kanagurta,Longjaw Mackerel,https://inaturalist-open-data.s3.amazonaws.com/photos/9860086/medium.jpg,79
Zanclus Cornutus,Moorish Idol,https://inaturalist-open-data.s3.amazonaws.com/photos/3080425/medium.jpg,80
Chaetodon Auriga,Threadfin Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/14193990/medium.jpg,81
Scarus Forsteni,Bluepatch Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/504019451/medium.jpeg,82
Rhinecanthus Verrucosus,Blackpatch Triggerfish,https://static.inaturalist.org/photos/29610277/medium.jpg,83
Chaetodon Vagabundus,Vagabond Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/370078467/medium.jpg,84
Scarus Rivulatus,Surf Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/60779842/medium.jpg,85
Acanthurus,Acanthuru,https://inaturalist-open-data.s3.amazonaws.com/photos/11763004/medium.jpg,86
Balistoides Viridescens,Titan Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/264599610/medium.jpg,87
Acanthurus Triostegus,Convict Surgeonfish,https://inaturalist-open-data.s3.amazonaws.com/photos/237987787/medium.jpg,88
Hippocampus Bargibanti,Pygmy Seahorse,https://inaturalist-open-data.s3.amazonaws.com/photos/462814113/medium.jpg,89
Dischistodus Melanotus,Blackvent Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/15539441/medium.jpg,90
Chaetodon Octofasciatus,Eightband Butterflyfish,https://static.inaturalist.org/photos/34714977/medium.jpg,91
Actinopterygii,Ray-Finned Fish,https://inaturalist-open-data.s3.amazonaws.com/photos/252526503/medium.jpg,92
Pomacentridae,Damselfish,https://inaturalist-open-data.s3.amazonaws.com/photos/15220643/medium.jpg,93
Pomacentrus Moluccensis,Lemon Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/3017968/medium.jpg,94
Pentapodus Bifasciatus,White-Shouldered Whiptail,https://inaturalist-open-data.s3.amazonaws.com/photos/80982018/medium.jpeg,95
Cheilodipterus Quinquelineatus,Fiveline Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/231200/medium.jpg,96
Corythoichthys Haematopterus,Reeftop Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/131018736/medium.jpg,97
Dascyllus Trimaculatus,Three-Spot Dascyllu,https://inaturalist-open-data.s3.amazonaws.com/photos/207083638/medium.jpg,98
Arothron Manilensis,Narrowlined Puffer,https://static.inaturalist.org/photos/78684485/medium.jpg,99
Scolopsis Bilineata,Bridled Monocle Bream,https://inaturalist-open-data.s3.amazonaws.com/photos/15574342/medium.jpg,100
Chaetodon Baronessa,Eastern Triangle Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/244485545/medium.jpg,101
Parupeneus Multifasciatus,Manybar Goatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/252802238/medium.jpg,102
Scarus,Scaru,https://inaturalist-open-data.s3.amazonaws.com/photos/186563445/medium.jpg,103
Choerodon Anchorago,Anchor Tuskfish,https://inaturalist-open-data.s3.amazonaws.com/photos/914196/medium.jpg,104
Scarus Ghobban,Blue-Barred Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/183680244/medium.jpg,105
Mugilidae,Mullet,https://inaturalist-open-data.s3.amazonaws.com/photos/241579364/medium.jpeg,106
Cryptocentrus Cinctus,Yellow Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/719427/medium.jpg,107
Tylosurus Crocodilus,Houndfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70924450/medium.jpg,108
Scorpaenopsis Oxycephala,Smallscale Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/469525259/medium.jpg,109
Plotosus Lineatus,Striped Eel Catfish,https://inaturalist-open-data.s3.amazonaws.com/photos/487402396/medium.jpg,110
Arothron Nigropunctatus,Blackspotted Puffer,https://static.inaturalist.org/photos/13138055/medium.jpg,111
Ecsenius Dilemma,Twocoat Coralblenny,https://inaturalist-open-data.s3.amazonaws.com/photos/19491554/medium.jpg,112
Oxudercinae,Mudskipper,https://static.inaturalist.org/photos/150666887/medium.jpg,113
Lutjanidae,Snapper,https://static.inaturalist.org/photos/12773793/medium.jpg,114
Scarinae,Parrotfish,https://static.inaturalist.org/photos/27623205/medium.jpg,115
Rhinomuraena Quaesita,Ribbon Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/230839617/medium.jpg,116
Pseudechidna Brummeri,White Ribbon Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/62394981/medium.jpg,117
Cheilodipterus Artus,Wolf Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/7495112/medium.jpg,118
Scorpaeninae,Typical Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/219055626/medium.jpg,119
Cirrhitichthys Falco,Dwarf Hawkfish,https://inaturalist-open-data.s3.amazonaws.com/photos/11975084/medium.jpeg,120
Amphiprion Biaculeatus,Spine-Cheek Clownfish,https://static.inaturalist.org/photos/73558357/medium.jpg,121
Antennarius Maculatus,Warty Anglerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/32218160/medium.jpg,122
Iniistius Pavo,Peacock Razorfish,https://static.inaturalist.org/photos/30770406/medium.jpg,123
Heteroconger Taylori,Taylor'S Garden Eel,https://static.inaturalist.org/photos/242328346/medium.jpg,124
Acentronura Tentaculata,Dwarf Pipehorse,https://inaturalist-open-data.s3.amazonaws.com/photos/53653127/medium.jpg,125
Trachyrhamphus Bicoarctatus,Bentstick Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/6033373/medium.jpg,126
Amblyeleotris Guttata,Spotted Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/254692196/medium.jpg,127
Amphiprion Ocellaris,Ocellaris Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/106318566/medium.jpg,128
Naso,Unicornfish,https://inaturalist-open-data.s3.amazonaws.com/photos/13189811/medium.jpg,129
Amphiprion Frenatus,Tomato Clownfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70903366/medium.jpg,130
Scorpaenidae,Scorpionfish,https://static.inaturalist.org/photos/29368079/medium.jpg,131
Canthigaster Papua,Papuan Toby,https://inaturalist-open-data.s3.amazonaws.com/photos/15073070/medium.jpg,132
Antennarius Pictus,Painted Frogfish,https://inaturalist-open-data.s3.amazonaws.com/photos/5890152/medium.jpg,133
Pseudanthias Huchtii,Threadfin Anthia,https://static.inaturalist.org/photos/30310644/medium.jpg,134
Antennarius Commerson,Giant Frogfish,https://static.inaturalist.org/photos/47089414/medium.jpg,135
Cryptocentrus Nigrocellatus,Cryptocentrus Nigrocellatu,https://static.inaturalist.org/photos/317588799/medium.jpg,136
Naso Unicornis,Bluespine Unicornfish,https://inaturalist-open-data.s3.amazonaws.com/photos/233701070/medium.jpg,137
Mirolabrichthys Tuka,Purple Queenfish,https://inaturalist-open-data.s3.amazonaws.com/photos/155051/medium.jpg,138
Scorpaenopsis Diabolus,Devil Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/249499513/medium.jpg,139
Scorpaenopsis,Scorpionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/8137485/medium.jpg,140
Gymnothorax Thyrsoideus,White-Eyed Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,141
Amphiprion Clarkii,Clark'S Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/233182847/medium.jpg,142
Corythoichthys,Corythoichthy,https://inaturalist-open-data.s3.amazonaws.com/photos/70676923/medium.jpg,143
Discotrema Monogrammum,Oneline Clingfish,https://inaturalist-open-data.s3.amazonaws.com/photos/264123562/medium.jpeg,144
Amphiprion Sandaracinos,Orange Skunk Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/151157086/medium.jpg,145
Caranx Sexfasciatus,Bigeye Trevally,https://inaturalist-open-data.s3.amazonaws.com/photos/471031925/medium.jpg,146
Amphiprion Perideraion,Pink Skunk Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/70527563/medium.jpg,147
Amphiprion Annamensis,Northern Saddleback Anemonefish,https://inaturalist-open-data.s3.amazonaws.com/photos/12453756/medium.jpg,148
Pterois Volitans,Common Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/4675175/medium.jpg,149
Ferdauia Orthogrammus,Island Jack,https://inaturalist-open-data.s3.amazonaws.com/photos/184626845/medium.jpg,150
Lutjaninae,Fusilier,https://static.inaturalist.org/photos/17821956/medium.jpg,151
Selar Boops,Oxeye Scad,https://inaturalist-open-data.s3.amazonaws.com/photos/258145473/medium.jpg,152
Hippocampus,Seahorse,https://inaturalist-open-data.s3.amazonaws.com/photos/14446408/medium.jpg,153
Aulostomus Chinensis,Pacific Trumpetfish,https://inaturalist-open-data.s3.amazonaws.com/photos/61754806/medium.jpg,154
Epinephelus Quoyanus,Longfin Rockcod,https://inaturalist-open-data.s3.amazonaws.com/photos/326867475/medium.jpg,155
Bryaninops,Bryaninop,https://inaturalist-open-data.s3.amazonaws.com/photos/180308436/medium.jpeg,156
Melanotaenia Praecox,Neon Rainbowfish,https://inaturalist-open-data.s3.amazonaws.com/photos/99090908/medium.jpeg,157
Pseudocheilinus Hexataenia,Sixline Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/235495682/medium.jpg,158
Balistapus Undulatus,Orangestripe Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/70598017/medium.jpg,159
Atheriniformes,Silverside,https://inaturalist-open-data.s3.amazonaws.com/photos/181127201/medium.jpg,160
Nectamia Viria,Bracelet Cardinalfish,https://static.inaturalist.org/photos/5717582/medium.jpg,161
Oxymonacanthus Longirostris,Longnose Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/8033213/medium.jpg,162
Gymnothorax Zonipectis,Barred-Fin Moray,https://static.inaturalist.org/photos/59054812/medium.jpeg,163
Chrysiptera Rollandi,Bluehead Demoiselle,https://inaturalist-open-data.s3.amazonaws.com/photos/348159838/medium.jpg,164
Plectropomus Oligacanthus,Highfin Coralgrouper,https://inaturalist-open-data.s3.amazonaws.com/photos/255297717/medium.jpg,165
Lutjanus Argentimaculatus,Mangrove Red Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/42950611/medium.jpeg,166
Chromis Analis,Yellow Chromi,https://inaturalist-open-data.s3.amazonaws.com/photos/546083/medium.jpg,167
Chromis Ternatensis,Ternate Chromi,https://inaturalist-open-data.s3.amazonaws.com/photos/182598522/medium.jpg,168
Dunckerocampus Dactyliophorus,Banded Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/38118832/medium.jpg,169
Ostorhinchus Nigrofasciatus,Blackstriped Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/8681537/medium.jpg,170
Synchiropus,Synchiropu,https://inaturalist-open-data.s3.amazonaws.com/photos/10499/medium.jpg,171
Pomacentrus Brachialis,Charcoal Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/236362802/medium.jpg,172
Ostracion Cubicum,Yellow Boxfish,https://inaturalist-open-data.s3.amazonaws.com/photos/230133564/medium.jpg,173
Trimma Cana,Candycane Dwarfgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/236392598/medium.jpg,174
Pycnochromis Retrofasciatus,Blackbar Chromi,https://inaturalist-open-data.s3.amazonaws.com/photos/551464/medium.jpg,175
Eviota Atriventris,Neon Pygmy-Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/236609905/medium.jpg,176
Cirrhitichthys Aprinus,Threadfin Hawkfish,https://static.inaturalist.org/photos/11409062/medium.jpg,177
Holocentridae,Squirrelfishs And Soldierfish,https://inaturalist-open-data.s3.amazonaws.com/photos/16566970/medium.jpg,178
Cephalopholis Miniata,Coral Grouper,https://static.inaturalist.org/photos/12505448/medium.jpg,179
Fistularia Commersonii,Blue-Spotted Cornetfish,https://static.inaturalist.org/photos/32188546/medium.jpg,180
Acanthurus Fowleri,Horseshoe Surgeonfish,https://inaturalist-open-data.s3.amazonaws.com/photos/165006/medium.jpg,181
Azurina Elerae,Twinspot Chromi,https://static.inaturalist.org/photos/29965673/medium.jpg,182
Doryrhamphus Janssi,Cleaner Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/82985077/medium.jpg,183
Cheilodipterus,Cheilodipteru,https://static.inaturalist.org/photos/14760778/medium.jpg,184
Naso Minor,Blackspine Unicornfish,https://inaturalist-open-data.s3.amazonaws.com/photos/1683781/medium.jpg,185
Callionymus,Callionymu,https://inaturalist-open-data.s3.amazonaws.com/photos/14910535/medium.jpg,186
Trichonotus,Trichonotu,https://inaturalist-open-data.s3.amazonaws.com/photos/448172/medium.jpg,187
Aluterus Scriptus,Scrawled Filefish,https://inaturalist-open-data.s3.amazonaws.com/photos/145409892/medium.jpeg,188
Scorpaenoidei,Scorpionfishs And Allie,https://inaturalist-open-data.s3.amazonaws.com/photos/15692857/medium.jpg,189
Heniochus Diphreutes,Schooling Bannerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/170410415/medium.jpeg,190
Gorgasia Barnesi,Barnes' Garden Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/343867138/medium.jpg,191
Brachysomophis Henshawi,Reptilian Snake Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/220008/medium.jpg,192
Ostorhinchus Cyanosoma,Yellowstriped Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/722172/medium.jpg,193
Lethrinus,Lethrinu,https://inaturalist-open-data.s3.amazonaws.com/photos/11975375/medium.jpeg,194
Antennarius Striatus,Striate Anglerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/6075251/medium.jpg,195
Antennariidae,Frogfish,https://inaturalist-open-data.s3.amazonaws.com/photos/43767791/medium.jpeg,196
Canthigaster Bennetti,Whitebelly Toby,https://static.inaturalist.org/photos/26274213/medium.jpg,197
Epinephelus Merra,Honeycomb Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/5921949/medium.jpg,198
Neochirus Brachyptera,Dwarf Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/11974491/medium.jpeg,199
Plectorhinchus Chaetodonoides,Harlequin Sweetlip,https://inaturalist-open-data.s3.amazonaws.com/photos/83219315/medium.jpg,200
Platax Pinnatus,Dusky Batfish,https://inaturalist-open-data.s3.amazonaws.com/photos/15104904/medium.jpg,201
Aeoliscus Strigatus,Jointed Razorfish,https://inaturalist-open-data.s3.amazonaws.com/photos/38429774/medium.jpg,202
Pristiapogon Fraenatus,Spurcheek Cardinalfish,https://static.inaturalist.org/photos/15017956/medium.jpg,203
Diodon Holocanthus,Longspined Porcupinefish,https://inaturalist-open-data.s3.amazonaws.com/photos/246231050/medium.jpg,204
Ecsenius Pictus,Pictus Blenny,https://inaturalist-open-data.s3.amazonaws.com/photos/217887/medium.jpg,205
Hemigymnus Melapterus,Blackeye Thicklip,https://inaturalist-open-data.s3.amazonaws.com/photos/254448032/medium.jpg,206
Cephalopholis Urodeta,Flagtail Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/86924537/medium.jpg,207
Echidna Nebulosa,Snowflake Moray,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,208
Pseudocheilinus Evanidus,Disappearing Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/449657982/medium.jpg,209
Epinephelus Fuscoguttatus,Flowery Rockcod,https://inaturalist-open-data.s3.amazonaws.com/photos/2433956/medium.jpg,210
Xanthichthys Auromarginatus,Gilded Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/275406393/medium.jpg,211
Chaetodon Kleinii,Blacklip Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/233628218/medium.jpg,212
Chaetodon Adiergastos,Panda Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/370087801/medium.jpg,213
Chaetodon Unimaculatus,Teardrop Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/13199581/medium.jpg,214
Chaetodon Trifascialis,Chevron Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/171100563/medium.jpg,215
Lutjanus Rivulatus,Speckled Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/103849383/medium.jpg,216
Scarus Niger,Swarthy Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/153582238/medium.jpg,217
Centropyge Bispinosa,Coral Beauty,https://inaturalist-open-data.s3.amazonaws.com/photos/265781737/medium.jpg,218
Lutjanus Monostigma,Onespot Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/66907/medium.jpg,219
Chaetodon Speculum,Oval-Spot Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/236392515/medium.jpg,220
Caesio Caerulaurea,Scissor-Tailed Fusilier,https://inaturalist-open-data.s3.amazonaws.com/photos/612055/medium.jpg,221
Epinephelus Ongus,Specklefin Grouper,https://inaturalist-open-data.s3.amazonaws.com/photos/109440274/medium.jpeg,222
Cirrhilabrus Lubbocki,Orangeback Wrasse,https://inaturalist-open-data.s3.amazonaws.com/photos/462310312/medium.jpg,223
Melichthys Vidua,Pinktail Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/8373357/medium.jpg,224
Labridae,Wrasses And Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/19491788/medium.jpg,225
Ctenochaetus Tominiensis,Orange-Tip Bristletooth,https://static.inaturalist.org/photos/27823423/medium.jpg,226
Macolor Macularis,Midnight Snapper,https://inaturalist-open-data.s3.amazonaws.com/photos/156951458/medium.jpeg,227
Chaetodon Punctatofasciatus,Spotbanded Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/255620804/medium.jpg,228
Forcipiger Flavissimus,Forceps Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/2037558/medium.jpg,229
Hemitaurichthys Polylepis,Pyramid Butterflyfish,https://static.inaturalist.org/photos/230601644/medium.jpg,230
Upeneus Tragula,Freckled Goatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/347404363/medium.jpg,231
Pteropterus Antennatus,Spotfin Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/426826034/medium.jpeg,232
Synchiropus Splendidus,Mandarinfish,https://inaturalist-open-data.s3.amazonaws.com/photos/235301873/medium.jpg,233
Arothron Mappa,Map Puffer,https://inaturalist-open-data.s3.amazonaws.com/photos/49403/medium.jpg,234
